trial,intents,dim,learning_rate,weight_decay,dropout,router_dropout,epoch,loss,rank_loss,next_loss,route_loss,validation_lambda_z,validation_lambda_next,validation_lambda_fine,validation_Recall@10,validation_NDCG@10,validation_MRR@10,validation_Recall@20,validation_NDCG@20,validation_MRR@20
3,64,64,0.0005,0.0001,0.15,0.1,2,32.02830996880164,31.114357948303223,4.179808176480806,0.5158655998798517,0.05,0.1,0.05,0.08571428571428572,0.05166082614705053,0.041380236305048335,0.12180451127819548,0.06050560564608407,0.04365933929506172
3,64,64,0.0005,0.0001,0.15,0.1,3,30.960916885962853,30.05250967465914,4.174422722596389,0.47549008749998534,0.2,0.0,0.1,0.08421052631578947,0.052665401303585886,0.04310060866451844,0.11729323308270677,0.06091774608480326,0.045302795449388714
3,64,64,0.0005,0.0001,0.15,0.1,4,30.43561531947209,29.531641519986668,4.172482068722065,0.44048502582770127,0.0,0.2,0.2,0.08571428571428572,0.0515393620488546,0.041260890321040695,0.12330827067669173,0.06079761755666468,0.04367258441515291
3,64,64,0.0005,0.0001,0.15,0.1,5,30.162799761845516,29.262486677903397,4.173168494151189,0.4100666275391212,0.2,0.0,0.05,0.08421052631578947,0.05207516383230806,0.04240720849743406,0.11879699248120301,0.06065115399606758,0.044671079629702966
3,64,64,0.0005,0.0001,0.15,0.1,6,29.36706176170936,28.469296528742863,4.1741755192096415,0.3821553129416246,0.05,0.1,0.1,0.08421052631578947,0.050769148702101766,0.0405734574531567,0.12330827067669173,0.060377192678964735,0.04306743838628892
3,64,64,0.0005,0.0001,0.15,0.1,7,29.253317246070274,28.357823885404148,4.17804584136376,0.35527154688651746,0.0,0.1,0.1,0.08571428571428572,0.051246940963250345,0.04076321756772885,0.12030075187969924,0.059754114537588394,0.042970490703561764
3,64,64,0.0005,0.0001,0.15,0.1,8,28.870470340435322,27.977998073284443,4.1778459915748005,0.3283650806316963,0.0,0.1,0.0,0.0887218045112782,0.05193651116880883,0.04083064804869316,0.12180451127819548,0.05998842925093678,0.042877185251542195
4,64,64,0.001,0.0001,0.15,0.1,1,33.42668643364539,32.49337299053486,4.245172610649695,0.5437959501376519,0.2,0.05,0.1,0.08421052631578947,0.05153037931652781,0.04161117078410311,0.12481203007518797,0.061567935156788045,0.04424866998501161
4,64,64,0.001,0.0001,0.15,0.1,2,31.56591041271503,30.658308322613056,4.176665141032292,0.4596772205371123,0.0,0.1,0.1,0.0887218045112782,0.05204062777961335,0.04097923379878267,0.12030075187969924,0.059778525076745304,0.04297187111224914
4,64,64,0.001,0.0001,0.15,0.1,3,30.481953987708458,29.582204598646896,4.177030361615694,0.38345212317430055,0.05,0.1,0.2,0.08571428571428572,0.05193579371746327,0.041672037235947014,0.11729323308270677,0.059755525656681144,0.04372790905228811
4,64,64,0.001,0.0001,0.15,0.1,4,29.911988551800068,29.019293858454777,4.175834068885217,0.31925570047818697,0.05,0.1,0.2,0.08270676691729323,0.051077334448467675,0.041452440625372955,0.12030075187969924,0.06044311468992946,0.04394710984756144
4,64,64,0.001,0.0001,0.15,0.1,5,29.625172981849083,28.73810261946458,4.175680875778198,0.26858924558529484,0.05,0.1,0.2,0.081203007518797,0.050467543671710566,0.04108067788518916,0.12330827067669173,0.060832482399982395,0.043780408456378574
4,64,64,0.001,0.0001,0.15,0.1,6,28.822192632235012,27.93818811269907,4.181396245956421,0.22845525924976057,0.1,0.0,0.1,0.07969924812030076,0.051139482598829035,0.042367824322711536,0.12030075187969924,0.06137466878622204,0.04516410661275532
4,64,64,0.001,0.0001,0.15,0.1,7,28.691590162423942,27.811842771676872,4.176321543180025,0.19746141422253388,0.05,0.05,0.2,0.081203007518797,0.050897428291516646,0.04158789831722162,0.11879699248120301,0.060257032036057256,0.04408163087019672
