dataset,seed,scope,variant,n_users,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
clothing,2024,Q4-high,Past+Future,523,0.0057361376673040155,0.002799738215879141,0.001866520986979878,0.011472275334608031,0.004254246788424123,0.0022669066646122094
clothing,2024,Q4-high,FIR-MIC full,523,0.0,0.0,0.0,0.0,0.0,0.0
clothing,2025,Overall,Past-only,2095,0.013365155131264916,0.006416279969104367,0.004340076523847407,0.03054892601431981,0.010660281499274707,0.0054513700563746
clothing,2025,Overall,Future-only,2095,0.0038186157517899762,0.001801691670384026,0.0012077129976891313,0.010023866348448688,0.0033486651703824193,0.001621144894695365
clothing,2025,Overall,Past+Future,2095,0.010501193317422435,0.00544467591872636,0.003909345758987764,0.022911694510739856,0.008535958087313852,0.0047346683588989835
clothing,2025,Overall,FIR-MIC full,2095,0.07159904534606205,0.045252603317731434,0.037146456036670834,0.09880668257756563,0.052151610752047876,0.03905058851813989
clothing,2025,Q4-high,Past-only,523,0.0076481835564053535,0.004579234502826355,0.003619229718656105,0.017208413001912046,0.007111701367363328,0.0043740198615915635
clothing,2025,Q4-high,Future-only,523,0.009560229445506692,0.005264489317825389,0.00396977146499135,0.022944550669216062,0.0086158461276103,0.004869329454584207
clothing,2025,Q4-high,Past+Future,523,0.011472275334608031,0.006324565480887136,0.004700446144040789,0.021032504780114723,0.008632322392896668,0.005279091610479353
clothing,2025,Q4-high,FIR-MIC full,523,0.0,0.0,0.0,0.0,0.0,0.0
clothing,2026,Overall,Past-only,2095,0.010978520286396181,0.004574626789940572,0.0026754934272834032,0.020047732696897375,0.00675324095588502,0.003215329065872524
clothing,2026,Overall,Future-only,2095,0.006682577565632458,0.0027996834092890773,0.001618176307913778,0.010978520286396181,0.0038518588607940793,0.0018882129747598909
clothing,2026,Overall,Past+Future,2095,0.009069212410501194,0.003691429410361,0.0021049740500814484,0.01909307875894988,0.006196665290979565,0.0027770345387109464
clothing,2026,Overall,FIR-MIC full,2095,0.07398568019093078,0.0459486539800177,0.037418456642800316,0.09832935560859188,0.052039535149125286,0.03905766895298583
clothing,2026,Q4-high,Past-only,523,0.0076481835564053535,0.002837000527338446,0.0014203769461895658,0.01338432122370937,0.0041998235222132415,0.0017491146604561114
clothing,2026,Q4-high,Future-only,523,0.017208413001912046,0.007429109493961597,0.004453094175847523,0.03441682600382409,0.011643846723221597,0.005534789810728222
clothing,2026,Q4-high,Past+Future,523,0.0076481835564053535,0.004124736487135761,0.00308051837688549,0.019120458891013385,0.006974034520209814,0.0038349545829019453
clothing,2026,Q4-high,FIR-MIC full,523,0.0,0.0,0.0,0.0,0.0,0.0
clothing,2027,Overall,Past-only,2095,0.00954653937947494,0.004712436237564122,0.003284842974580445,0.016229116945107397,0.006380910707377181,0.00373078847126964
clothing,2027,Overall,Future-only,2095,0.005727923627684964,0.002697399245674747,0.0018144107284918743,0.00954653937947494,0.003651332268918201,0.0020703685903705115
clothing,2027,Overall,Past+Future,2095,0.0076372315035799524,0.0037439558400500727,0.0025701784293669736,0.014797136038186158,0.005523566158496414,0.0030428735035568344
clothing,2027,Overall,FIR-MIC full,2095,0.0711217183770883,0.04479719014422341,0.03669375307800129,0.10119331742243437,0.05227324491634882,0.03867845704134006
clothing,2027,Q4-high,Past-only,523,0.009560229445506692,0.00583350732975297,0.004652644996813257,0.019120458891013385,0.008226792410034697,0.005297370548452364
clothing,2027,Q4-high,Future-only,523,0.017208413001912046,0.007600638214409494,0.004782390967859419,0.030592734225621414,0.01097172955346953,0.005701465853289993
clothing,2027,Q4-high,Past+Future,523,0.011472275334608031,0.0062740873729180335,0.004652644996813257,0.015296367112810707,0.007244068399983845,0.004919228317889886
clothing,2027,Q4-high,FIR-MIC full,523,0.0,0.0,0.0,0.0,0.0,0.0
clothing,2028,Overall,Past-only,2095,0.010023866348448688,0.004361513865019738,0.002674167519036254,0.01766109785202864,0.006250218894017915,0.003171223624462576
clothing,2028,Overall,Future-only,2095,0.0038186157517899762,0.001802054356574196,0.0012065765049058604,0.00954653937947494,0.0032277132617982303,0.001587360656351398
clothing,2028,Overall,Past+Future,2095,0.00954653937947494,0.00407984569223603,0.0024540667500094707,0.015274463007159905,0.005511733994434081,0.0028388926942168108
clothing,2028,Overall,FIR-MIC full,2095,0.0711217183770883,0.0452676637378126,0.037264651286131,0.09832935560859188,0.05216513753242234,0.0391651025753119
clothing,2028,Q4-high,Past-only,523,0.0038240917782026767,0.003118412530729364,0.0028680688336520078,0.0057361376673040155,0.003553728493821053,0.0029636711281070746
clothing,2028,Q4-high,Future-only,523,0.0076481835564053535,0.004152336642244265,0.003107074569789675,0.019120458891013385,0.00706358218899939,0.003916517494559157
clothing,2028,Q4-high,Past+Future,523,0.0038240917782026767,0.003118412530729364,0.0028680688336520078,0.0057361376673040155,0.0036206104944716084,0.0030151492866598026
clothing,2028,Q4-high,FIR-MIC full,523,0.0,0.0,0.0,0.0,0.0,0.0
clothing,2029,Overall,Past-only,2095,0.006205250596658711,0.0027235205142409563,0.0016837140584157289,0.012410501193317422,0.004283289826560166,0.002106179616006936
clothing,2029,Overall,Future-only,2095,0.005250596658711217,0.0023095596427721928,0.0014490282986703033,0.00954653937947494,0.0033874081628193263,0.001740764684675071
clothing,2029,Overall,Past+Future,2095,0.006205250596658711,0.0027231329274949793,0.001681630488313066,0.011455847255369928,0.004029164850492816,0.0020282485727449043
clothing,2029,Overall,FIR-MIC full,2095,0.07255369928400955,0.045688761372617744,0.03743474637269387,0.10214797136038187,0.05319527157747763,0.03950724469675311
clothing,2029,Q4-high,Past-only,523,0.015296367112810707,0.0074568738856697295,0.005087407812073204,0.02676864244741874,0.010285244541785251,0.005823455528213148
clothing,2029,Q4-high,Future-only,523,0.011472275334608031,0.006003319243366398,0.004365838113448056,0.02676864244741874,0.009862363570193574,0.005421983809945616
clothing,2029,Q4-high,Past+Future,523,0.015296367112810707,0.00757851091071176,0.00521260129290722,0.02676864244741874,0.010364759782647842,0.00591548064665469
clothing,2029,Q4-high,FIR-MIC full,523,0.0,0.0,0.0,0.0,0.0,0.0
clothing,2030,Overall,Past-only,2095,0.005250596658711217,0.0025493399177504952,0.0017740652346857598,0.011933174224343675,0.004240304302919379,0.002237570173131032
clothing,2030,Overall,Future-only,2095,0.00477326968973747,0.0021301744548888973,0.0013495851801341061,0.008114558472553698,0.002970226790637522,0.0015774674106837521
clothing,2030,Overall,Past+Future,2095,0.005727923627684964,0.0027310061037161483,0.0018680153047694813,0.012410501193317422,0.0043990040298896955,0.002313923518324384
clothing,2030,Overall,FIR-MIC full,2095,0.07398568019093078,0.04648325454400615,0.038166079478728646,0.09928400954653938,0.05286975939908818,0.03991442043953552
clothing,2030,Q4-high,Past-only,523,0.0038240917782026767,0.0021623895861786952,0.0015933715742511153,0.0057361376673040155,0.0026301726495022632,0.001712874442319949
clothing,2030,Q4-high,Future-only,523,0.01338432122370937,0.006603182631178732,0.004559318947464263,0.019120458891013385,0.007964814098450835,0.00488689739758236
clothing,2030,Q4-high,Past+Future,523,0.0038240917782026767,0.0028680688336520078,0.0025493945188017845,0.011472275334608031,0.004737392010905776,0.003029285966792256
clothing,2030,Q4-high,FIR-MIC full,523,0.0,0.0,0.0,0.0,0.0,0.0
clothing,2031,Overall,Past-only,2095,0.011933174224343675,0.005660962118884898,0.003785846876539,0.024821002386634844,0.008956723313492012,0.00471056041131113
clothing,2031,Overall,Future-only,2095,0.0042959427207637235,0.0020049842083748885,0.0013325377883850438,0.008114558472553698,0.0029547311886591863,0.0015848311895586477
clothing,2031,Overall,Past+Future,2095,0.011455847255369928,0.0054106857069700295,0.003620676592036974,0.02673031026252983,0.009250160775630149,0.0046635527291777985
clothing,2031,Overall,FIR-MIC full,2095,0.0711217183770883,0.04424391014109244,0.03595124445959769,0.09976133651551312,0.051346794525674665,0.037830956525012845
clothing,2031,Q4-high,Past-only,523,0.011472275334608031,0.004287983246971262,0.002171537831193663,0.01338432122370937,0.004804690999222351,0.0023308749886187742
clothing,2031,Q4-high,Future-only,523,0.01338432122370937,0.0069260272732497435,0.004955385595920969,0.022944550669216062,0.009340121382538268,0.0056163244021752625
clothing,2031,Q4-high,Past+Future,523,0.009560229445506692,0.0037623263142077396,0.0020334456280918993,0.021032504780114723,0.006670316939393888,0.002837391606637858
clothing,2031,Q4-high,FIR-MIC full,523,0.0,0.0,0.0,0.0,0.0,0.0
