dataset,seed,group,n_users,average_history_length,average_interest_diversity,model,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
clothing,2023,Low,649,2.8397534668721107,0.43276637002756857,Multi-interest per-item,0.10785824345146379,0.06367977715163034,0.05015286032235184,0.15408320493066255,0.07527470115907972,0.05328584954861627
clothing,2023,Low,649,2.8397534668721107,0.43276637002756857,FIR-MIC,0.1016949152542373,0.06309053238681228,0.051223494020104184,0.14637904468412943,0.07454833934564518,0.05445994651512071
clothing,2023,Medium,649,3.420647149460709,0.6019340089087494,Multi-interest per-item,0.05546995377503852,0.03431391770535802,0.027794898133881182,0.08012326656394453,0.04041056051580638,0.02940069031656709
clothing,2023,Medium,649,3.420647149460709,0.6019340089087494,FIR-MIC,0.06471494607087827,0.0402973376043238,0.0330410643969966,0.08782742681047766,0.04606727565280383,0.03458566170359022
clothing,2023,Single-history,149,1.0,,Multi-interest per-item,0.0738255033557047,0.04137061189785026,0.031674123788217746,0.09395973154362416,0.04692849139939106,0.03345366415836214
clothing,2023,Single-history,149,1.0,,FIR-MIC,0.0738255033557047,0.046448382842468626,0.03771172898689677,0.0738255033557047,0.046448382842468626,0.03771172898689677
clothing,2024,High,648,2.7978395061728394,0.7061748805766305,Multi-interest per-item,0.05092592592592592,0.03556539562631851,0.030966465804428772,0.07561728395061729,0.04198238407604286,0.032818145478140034
clothing,2024,High,648,2.7978395061728394,0.7061748805766305,FIR-MIC,0.047839506172839504,0.0324973998371109,0.027721438369586515,0.07098765432098765,0.038395684584114076,0.02936064628011509
clothing,2024,Low,649,2.8397534668721107,0.43276637002756857,Multi-interest per-item,0.11093990755007704,0.06486251539964935,0.05089881869542886,0.1510015408320493,0.0749211535076572,0.053623617856815395
clothing,2024,Low,649,2.8397534668721107,0.43276637002756857,FIR-MIC,0.10939907550077041,0.06714036440495692,0.054276420378115295,0.14637904468412943,0.07648291202602234,0.05683914081538195
clothing,2024,Medium,649,3.420647149460709,0.6019340089087494,Multi-interest per-item,0.05855161787365177,0.03542104932789276,0.028472375082544573,0.08782742681047766,0.04280808588533953,0.030487651677014206
clothing,2024,Medium,649,3.420647149460709,0.6019340089087494,FIR-MIC,0.05855161787365177,0.03951625626854292,0.03378457700491599,0.09090909090909091,0.04774612331761239,0.03607165660729848
clothing,2024,Single-history,149,1.0,,Multi-interest per-item,0.06711409395973154,0.03860312889296465,0.030089485458612977,0.09395973154362416,0.045729508994411916,0.032222587256144304
clothing,2024,Single-history,149,1.0,,FIR-MIC,0.0738255033557047,0.04867108719863991,0.040508149568552254,0.0738255033557047,0.04867108719863991,0.040508149568552254
clothing,2025,High,648,2.7978395061728394,0.7061748805766305,Multi-interest per-item,0.05246913580246913,0.0338570726940315,0.028306878306878305,0.08179012345679013,0.04144472377384638,0.030484120487058793
clothing,2025,High,648,2.7978395061728394,0.7061748805766305,FIR-MIC,0.046296296296296294,0.03171924309381047,0.02719417499510092,0.06481481481481481,0.03643117351191462,0.02850288350105602
clothing,2025,Low,649,2.8397534668721107,0.43276637002756857,Multi-interest per-item,0.10631741140215717,0.06383605315011824,0.050937950937950935,0.14791987673343607,0.0742521861250862,0.053742045214219596
clothing,2025,Low,649,2.8397534668721107,0.43276637002756857,FIR-MIC,0.10785824345146379,0.06465527091568232,0.05132315895027759,0.14329738058551617,0.07354985733390623,0.05373005727689284
clothing,2025,Medium,649,3.420647149460709,0.6019340089087494,Multi-interest per-item,0.05546995377503852,0.03343737119418697,0.026775014063149655,0.09244992295839753,0.04272432263407688,0.02929478326171023
clothing,2025,Medium,649,3.420647149460709,0.6019340089087494,FIR-MIC,0.060092449922958396,0.038901812219949,0.03254763127644484,0.09244992295839753,0.047222047705060215,0.03490362114215435
clothing,2025,Single-history,149,1.0,,Multi-interest per-item,0.0738255033557047,0.04159455955025353,0.03189783743475019,0.09395973154362416,0.046558225981908466,0.03319218067540216
clothing,2025,Single-history,149,1.0,,FIR-MIC,0.0738255033557047,0.04725897631431836,0.038710450623202296,0.08053691275167785,0.04878696456060663,0.03904602109300096
clothing,2026,High,648,2.7978395061728394,0.7061748805766305,Multi-interest per-item,0.05864197530864197,0.03656860766533257,0.030026455026455023,0.07407407407407407,0.04037606022807371,0.03102207276112218
clothing,2026,High,648,2.7978395061728394,0.7061748805766305,FIR-MIC,0.05092592592592592,0.032678735246771506,0.027050876935136192,0.06327160493827161,0.035976329913525916,0.02805046739551097
clothing,2026,Low,649,2.8397534668721107,0.43276637002756857,Multi-interest per-item,0.11248073959938366,0.0661642143780554,0.05201286472472913,0.14946070878274267,0.07547563282193902,0.05454847144276463
clothing,2026,Low,649,2.8397534668721107,0.43276637002756857,FIR-MIC,0.10785824345146379,0.06539628953454421,0.05244576515762956,0.14329738058551617,0.07415799731747447,0.054746810572038236
clothing,2026,Medium,649,3.420647149460709,0.6019340089087494,Multi-interest per-item,0.05546995377503852,0.035702976276640985,0.029717880989067434,0.0847457627118644,0.043088312367501984,0.03173833716863718
clothing,2026,Medium,649,3.420647149460709,0.6019340089087494,FIR-MIC,0.06471494607087827,0.04004255560583796,0.032767138699342085,0.09244992295839753,0.04685743156128332,0.034533813662516066
clothing,2026,Single-history,149,1.0,,Multi-interest per-item,0.08053691275167785,0.04216715103347054,0.031234686268243318,0.09395973154362416,0.04556075551530918,0.03216682646212848
clothing,2026,Single-history,149,1.0,,FIR-MIC,0.06711409395973154,0.044676504376651674,0.03731224033237456,0.08053691275167785,0.048128530276099785,0.03829522453683527
