dataset,seed,group,n_users,average_history_length,average_interest_diversity,model,Recall@10,NDCG@10,MRR@10,Recall@20,NDCG@20,MRR@20
clothing,2023,2-3,1517,2.3269611074489123,0.5775646072816676,FIR-MIC,0.07053394858272907,0.04643483519257564,0.03895977859392494,0.09887936717205009,0.05359035373280298,0.04091978302976566
clothing,2023,4-5,281,4.3736654804270465,0.5895858407020569,Multi-interest per-item,0.08896797153024912,0.046507039534628966,0.033752753770547365,0.11387900355871886,0.05267293570471501,0.03537957640785886
clothing,2023,4-5,281,4.3736654804270465,0.5895858407020569,FIR-MIC,0.09608540925266904,0.049468986845579745,0.035892221657346214,0.12455516014234876,0.0566329753520865,0.03784006091623182
clothing,2023,>=6,148,7.547297297297297,0.5897482301335077,Multi-interest per-item,0.05405405405405406,0.03003651431834773,0.0228978978978979,0.10810810810810811,0.04301955639936708,0.026108916366269306
clothing,2023,>=6,148,7.547297297297297,0.5897482301335077,FIR-MIC,0.04054054054054054,0.027385639984625773,0.0236003861003861,0.07432432432432433,0.03616479353501408,0.02614502544843102
clothing,2024,1,149,1.0,,Multi-interest per-item,0.06711409395973154,0.03860312889296465,0.030089485458612977,0.09395973154362416,0.045729508994411916,0.032222587256144304
clothing,2024,1,149,1.0,,FIR-MIC,0.0738255033557047,0.04867108719863991,0.040508149568552254,0.0738255033557047,0.04867108719863991,0.040508149568552254
clothing,2024,2-3,1517,2.3269611074489123,0.5775646072816676,Multi-interest per-item,0.07580751483190508,0.046957228022054015,0.0382085046719193,0.1034937376400791,0.05400856212189744,0.04017057003823597
clothing,2024,2-3,1517,2.3269611074489123,0.5775646072816676,FIR-MIC,0.07251153592617007,0.04764658349191362,0.03996688325956619,0.1034937376400791,0.05549368489416836,0.04212807298966024
clothing,2024,4-5,281,4.3736654804270465,0.5895858407020569,Multi-interest per-item,0.0711743772241993,0.04392148418393819,0.03562955431282834,0.1103202846975089,0.053895588536619465,0.03840117910140937
clothing,2024,4-5,281,4.3736654804270465,0.5895858407020569,FIR-MIC,0.08185053380782918,0.048428449350169114,0.038609275264079534,0.10320284697508897,0.05405114398599558,0.04027415842362462
clothing,2024,>=6,148,7.547297297297297,0.5897482301335077,Multi-interest per-item,0.05405405405405406,0.030772688573558513,0.02435113685113685,0.10810810810810811,0.04415683871366321,0.02787085217425774
clothing,2024,>=6,148,7.547297297297297,0.5897482301335077,FIR-MIC,0.0472972972972973,0.02966351680350536,0.02456831831831832,0.0945945945945946,0.041437541243288634,0.02769919644919645
clothing,2025,1,149,1.0,,Multi-interest per-item,0.0738255033557047,0.04159455955025353,0.03189783743475019,0.09395973154362416,0.046558225981908466,0.03319218067540216
clothing,2025,1,149,1.0,,FIR-MIC,0.0738255033557047,0.04725897631431836,0.038710450623202296,0.08053691275167785,0.04878696456060663,0.03904602109300096
clothing,2025,2-3,1517,2.3269611074489123,0.5775646072816676,Multi-interest per-item,0.07317073170731707,0.04508694397985447,0.03658431951114877,0.1054713249835201,0.05331829275533827,0.03887909747703601
clothing,2025,2-3,1517,2.3269611074489123,0.5775646072816676,FIR-MIC,0.07053394858272907,0.046377676882028235,0.03888810413200657,0.0982201713909031,0.05338627007955253,0.040815990540373236
clothing,2025,4-5,281,4.3736654804270465,0.5895858407020569,Multi-interest per-item,0.0711743772241993,0.04248865116476637,0.03378240976105745,0.11387900355871886,0.05326462946443029,0.03673564270958033
clothing,2025,4-5,281,4.3736654804270465,0.5895858407020569,FIR-MIC,0.08540925266903915,0.04508465344368731,0.03291250070609501,0.11387900355871886,0.05266017723684872,0.0351883387470576
