dataset,group,model,n_seeds,n_users_mean,n_users_sd,average_history_length_mean,average_history_length_sd,Recall@10_mean,Recall@10_sd,NDCG@10_mean,NDCG@10_sd,MRR@10_mean,MRR@10_sd,Recall@20_mean,Recall@20_sd,NDCG@20_mean,NDCG@20_sd,MRR@20_mean,MRR@20_sd,average_interest_diversity_mean,average_interest_diversity_sd
clothing,4-5,FIR-MIC,10,281.0,0.0,4.373665480427047,9.362222582871203e-16,0.08327402135231317,0.006957474874787746,0.0452238313959289,0.0028666950917236203,0.03386558775348811,0.0031424029693497414,0.11743772241992881,0.006916906162331317,0.053976048813550295,0.0018821648922357334,0.03632552802799764,0.0028709260895762906,0.5895858407020569,0.0
clothing,4-5,Multi-interest per-item,10,281.0,0.0,4.373665480427047,9.362222582871203e-16,0.07580071174377224,0.006060279845525408,0.04316523446023249,0.003222745414501939,0.03325651019601198,0.003494703841024413,0.11103202846975088,0.005762732052902072,0.05206134406698981,0.002948485180405024,0.0356917965033056,0.0034478291121257335,0.5895858407020569,0.0
clothing,>=6,FIR-MIC,10,148.0,0.0,7.5472972972972965,9.362222582871203e-16,0.0445945945945946,0.007263295268737433,0.028810231422966803,0.0024631582809083808,0.024266141141141142,0.0012194961899991564,0.08445945945945946,0.010197505786190785,0.039064432057032486,0.0023361848063488174,0.027177072806910264,0.0007781916115649299,0.5897482301335077,0.0
clothing,>=6,Multi-interest per-item,10,148.0,0.0,7.5472972972972965,9.362222582871203e-16,0.053378378378378374,0.008693810389918372,0.030726102513366126,0.004294470774439043,0.024161572286572282,0.0038124008614150427,0.09729729729729729,0.011125305437142765,0.04164145307144751,0.004420476196735368,0.027059136233865334,0.003853600705407638,0.5897482301335077,0.0
sports,1,FIR-MIC,6,127.0,0.0,1.0,0.0,0.06299212598425197,0.0070427337874009125,0.04014439615870862,0.0026389821776948066,0.03321251510227888,0.001643926673231942,0.0748031496062992,0.0065878742246777595,0.04315621911653463,0.002659811734360338,0.03405245950771413,0.001749554505464253,,
sports,1,Multi-interest per-item,6,127.0,0.0,1.0,0.0,0.051181102362204724,0.008258337387166548,0.03703915370647689,0.0042729430763713315,0.03269174686497522,0.004185112017896494,0.09448818897637795,0.014939894457488405,0.04802606388755814,0.0037087704934829946,0.03572676438738943,0.003574912592486919,,
sports,2-3,FIR-MIC,6,1075.0,0.0,2.3451162790697673,0.0,0.05798449612403101,0.0015190634063771663,0.031715739394514504,0.0007351744131080605,0.02380890857635044,0.0006159598858036097,0.08852713178294574,0.0024552971032346235,0.03936355082667001,0.0006953410602147285,0.025869102455105767,0.0005607838665198883,0.7211966706829709,0.0
sports,2-3,Multi-interest per-item,6,1075.0,0.0,2.3451162790697673,0.0,0.05767441860465117,0.0022785951095657454,0.031019549847422393,0.0016185070777974624,0.0230166728189984,0.001481004207984874,0.09069767441860466,0.0019289712886816474,0.03930909889418758,0.001423923807814304,0.02526177861506179,0.0014257361122864817,0.7211966706829709,0.0
sports,4-5,FIR-MIC,6,293.0,0.0,4.348122866894198,0.0,0.057451649601820254,0.003989915339419834,0.028852811688704863,0.002046017171981546,0.02019159578886541,0.0020671866951777894,0.09385665529010238,0.0060091525125116054,0.038124187464809285,0.0025612529576045586,0.022771542750687185,0.0021981530688752467,0.7350548351431464,1.2161883888976234e-16
sports,4-5,Multi-interest per-item,6,293.0,0.0,4.348122866894198,0.0,0.06484641638225257,0.009653334896744675,0.03517311311853595,0.0019983954601122383,0.026341035086768872,0.0010728425585299257,0.10466439135381116,0.0070497990374651515,0.04514205100242182,0.002354116317106014,0.029026813244471927,0.001628133417246143,0.7350548351431464,1.2161883888976234e-16
sports,>=6,FIR-MIC,6,198.0,0.0,7.792929292929293,0.0,0.0723905723905724,0.0026080695934056703,0.03842529971046743,0.0007030568185603974,0.0280456683234461,0.001332273089916013,0.14393939393939395,0.011405646253167897,0.05648026974093371,0.0036239712784133286,0.03297945167286803,0.002097110618719135,0.733460181289249,0.0
sports,>=6,Multi-interest per-item,6,198.0,0.0,7.792929292929293,0.0,0.06565656565656565,0.01317010586909626,0.03256732436220013,0.004112330976219518,0.02271591577147133,0.00213517236321181,0.10437710437710439,0.00993123313384015,0.04226433617020877,0.002506756614840618,0.025323893187318466,0.0017879594032390997,0.733460181289249,0.0
